#{"t_start": 1755403398.321287, "env_id": "drone-2d-custom-v0"}
r,l,t
654.207084,116,181.431109
3341.455953,601,184.983282
2804.635195,601,188.493873
2341.510224,601,191.866691
710.69259,219,192.991626
2528.520852,601,196.605995
1702.441349,414,198.841949
6537.688397,601,202.269103
2549.813087,402,204.685225
4421.560903,601,208.066523
2658.677097,601,211.058109
3420.151962,601,214.51928
6043.100943,318,216.38003
2408.201847,601,219.58376
1352.842248,382,221.996736
2253.450193,601,225.505866
1928.321639,601,228.518558
6085.68194,601,232.101308
2510.097733,601,235.571497
4096.611784,601,239.107485
2951.553171,601,242.71306
5580.237038,601,246.230137
3077.154814,601,249.641047
3561.549769,601,253.024426
5736.020671,601,256.544349
2705.325126,601,259.988412
2327.755178,601,263.115673
4285.320451,601,266.559934
1673.701907,601,270.035553
3126.10855,601,273.457401
2300.516736,601,276.856564
3425.582132,601,280.084435
1158.712508,212,281.431215
2285.251655,196,282.4189
2585.428959,601,285.72934
2672.704286,601,289.264765
2911.795948,158,290.080095
2462.318499,601,293.541018
4572.78436,601,297.01909
5033.145499,601,300.733789
1959.881319,601,304.174541
2471.642157,601,307.553303
2167.541589,601,311.08533
2780.060965,601,314.579666
3192.566403,601,318.001696
4022.696261,601,321.213954
2407.48564,601,324.621226
1968.880125,601,328.235761
2857.443783,601,331.731715
1720.300686,601,335.210726
2739.973125,601,338.806336
1235.89957,601,342.417867
4949.180748,601,345.72335
2035.755693,205,347.379685
4543.820779,601,350.525567
1870.99948,601,353.776788
1429.120558,601,356.993882
1994.847958,601,360.386093
2635.957974,601,363.662035
3422.527619,601,367.211888
2310.151777,601,370.759364
2506.875268,601,374.150764
1851.611714,431,376.396977
2912.547045,601,379.973404
3205.457192,601,383.578549
2435.983954,601,387.071904
2087.166177,601,390.395843
2737.35179,601,393.546603
1220.482219,203,394.821351
2901.095407,532,397.722836
3664.994397,601,401.083668
3367.17017,601,404.262904
6699.278095,601,407.686495
2339.103079,311,409.509303
5548.134547,601,412.582978
6040.602377,601,416.105316
3131.653995,601,419.304336
1969.954001,601,423.220511
4529.915626,601,426.638988
1660.13451,257,427.905994
2687.833935,456,430.429167
1096.573762,208,431.504347
2382.174926,601,434.421586
3798.646884,601,437.836653
1634.471194,601,440.78463
2421.193975,601,444.138176
3992.427487,601,447.373357
2935.375681,601,450.411743
4026.469492,601,453.803131
6198.33291,601,457.074314
4782.477196,601,460.627207
8526.769954,601,464.844603
2067.721233,601,469.484026
6227.899404,601,473.146006
2363.057702,601,476.697774
2914.253707,601,480.055671
2711.855721,274,481.577555
1363.390371,601,484.987132
2193.941528,190,485.968523
2792.60219,601,490.592702
3301.865108,601,494.670377
3953.599548,601,498.425947
709.754331,161,499.348265
3823.967177,601,502.999621
4448.465533,601,506.156797
1281.720419,601,509.351196
800.638954,165,510.302743
6092.962323,601,513.448165
526.366893,174,514.382901
1485.904947,601,517.523841
10353.775343,601,521.072137
2516.405781,601,524.358189
3924.487371,601,527.41665
3485.145979,242,528.891725
5851.895493,601,532.216366
1609.683948,601,535.332054
3765.097738,601,538.727696
2544.865936,601,541.955152
1499.100436,601,545.380198
3144.431458,601,548.499746
1620.0277,601,551.825558
1452.162536,601,555.094548
1559.083751,601,558.235862
3807.841227,601,561.441756
9782.539738,601,564.573856
829.553872,76,565.029636
1907.255632,601,568.194847
2549.070055,536,571.100949
2839.045491,601,574.24101
